position_mm,wear_depth_mm
0,0.000831
0.057,0.0004726
0.114,0.0003882
0.171,0.0003336
0.226,0.0002862
0.283,0.0002428
0.34,0.000203
0.397,0.000168
0.454,0.0001384
0.51,0.0001131
0.567,9.258e-05
0.623,7.665e-05
0.68,6.455e-05
0.737,5.515e-05
0.793,4.889e-05
0.85,4.529e-05
