cycle,F_over_F0
1.0,1.0000
301.2,0.9670
472.0,0.9547
502.6,0.9567
536.7,0.9547
620.8,0.9534
671.9,0.9516
795.1,0.9526
838.2,0.9499
953.4,0.9475
1059.1,0.9466
2009.1,0.9442
3015.0,0.9422
6606.0,0.9404
20095.7,0.9382
30113.4,0.9367
66379.1,0.9341
200385.0,0.9310
300273.5,0.9289
401793.7,0.9265
693749.5,0.9247
