x,F_over_F0
5.0,0.9436
15.0,0.9229
25.0,0.9064
35.0,0.8982
45.0,0.8900
55.0,0.8839
65.0,0.8798
75.0,0.8757
85.0,0.8730
95.0,0.8709
105.0,0.8672
115.0,0.8648
125.0,0.8634
135.0,0.8614
145.0,0.8593
155.0,0.8569
165.0,0.8559
175.0,0.8545
185.0,0.8525
195.0,0.8515
205.0,0.8504
215.0,0.8491
225.0,0.8491
235.0,0.8477
245.0,0.8457
255.0,0.8450
265.0,0.8443
275.0,0.8436
285.0,0.8429
295.0,0.8508
305.0,0.8409
315.0,0.8402
325.0,0.8395
335.0,0.8395
345.0,0.8339
355.0,0.8382
365.0,0.8361
375.0,0.8361
385.0,0.8354
395.0,0.8354
405.0,0.8347
415.0,0.8341
425.0,0.8324
435.0,0.8324
445.0,0.8324
455.0,0.8313
465.0,0.8269
475.0,0.8300
485.0,0.8259
495.0,0.8269
505.0,0.8255
515.0,0.8283
525.0,0.8266
535.0,0.8288
545.0,0.8283
555.0,0.8289
565.0,0.8317
575.0,0.8289
585.0,0.8289
595.0,0.8271
605.0,0.8283
615.0,0.8283
625.0,0.8259
635.0,0.8283
645.0,0.8252
655.0,0.8269
665.0,0.8242
675.0,0.8235
685.0,0.8235
695.0,0.8211
705.0,0.8211
715.0,0.8187
725.0,0.8194
735.0,0.8184
745.0,0.8187
755.0,0.8204
765.0,0.8204
775.0,0.8197
785.0,0.8197
795.0,0.8191
