position_mm,wear_depth_mm
0.02,6.617e-05
0.039,6.415e-05
0.057,6.22e-05
0.075,6.124e-05
0.094,5.846e-05
0.112,5.668e-05
0.13,5.495e-05
0.149,5.327e-05
0.167,5.245e-05
0.185,5.165e-05
0.204,5.007e-05
0.222,4.855e-05
0.24,4.706e-05
0.259,4.634e-05
0.277,4.563e-05
0.295,4.424e-05
0.314,4.356e-05
0.332,4.289e-05
0.35,4.289e-05
0.369,4.223e-05
0.442,3.969e-05
0.461,3.969e-05
0.479,3.908e-05
0.497,3.939e-05
0.516,3.969e-05
0.534,3.969e-05
0.552,3.969e-05
0.571,3.969e-05
0.589,3.939e-05
0.607,3.908e-05
0.626,3.789e-05
0.644,3.673e-05
0.662,3.507e-05
0.681,3.426e-05
0.699,3.4e-05
0.717,3.347e-05
0.736,3.347e-05
0.754,3.453e-05
0.772,3.561e-05
0.791,3.561e-05
0.809,3.561e-05
0.828,3.561e-05
0.846,3.617e-05
0.864,3.617e-05
0.883,3.534e-05
