x,y
0,100.0
10,98.82
15,98.72
20,98.74
30,98.66
50,98.30
70,98.30
100,98.16
150,98.05
200,98.02
300,97.83
500,97.66
700,97.55
1000,97.47
1500,97.36
2000,97.36
3000,97.22
5000,97.09
7000,96.99
10000,96.90
13000,96.79
16000,96.72
19000,96.66
