position_mm,wear_depth_mm
0,0.0066
0.057,0.002363
0.114,0.002268
0.17,0.002275
0.227,0.002235
0.284,0.002235
0.341,0.002237
0.397,0.002225
0.453,0.002134
0.51,0.00223
0.567,0.002268
0.624,0.002278
0.68,0.002313
0.737,0.002314
0.794,0.002456
0.851,0.002574
