position_mm,wear_depth_mm
0.001,0.0001
0.056,6.607e-05
0.113,5.218e-05
0.171,4.286e-05
0.226,3.532e-05
0.283,2.892e-05
0.34,2.339e-05
0.397,1.891e-05
0.452,1.54e-05
0.509,1.236e-05
0.567,1.008e-05
0.624,8.292e-06
0.68,6.954e-06
0.737,5.993e-06
0.793,5.322e-06
0.85,4.848e-06
