position_mm,wear_depth_mm
0.02,0.004904
0.039,0.003828
0.057,0.002988
0.075,0.002599
0.094,0.002092
0.112,0.001806
0.13,0.001792
0.149,0.001792
0.167,0.00182
0.185,0.001724
0.204,0.001711
0.222,0.001685
0.259,0.001685
0.277,0.001672
0.295,0.001685
0.314,0.001685
0.332,0.001659
0.35,0.001659
0.369,0.001659
0.387,0.001659
0.406,0.001659
0.424,0.001633
0.442,0.001646
0.461,0.001685
0.479,0.001685
0.497,0.001659
0.516,0.001659
0.534,0.001659
0.552,0.001608
0.571,0.001559
0.589,0.001608
0.607,0.001608
0.626,0.001711
0.644,0.001685
0.662,0.001633
0.681,0.001685
0.717,0.001685
0.736,0.001659
0.754,0.001659
0.772,0.001685
0.791,0.001608
0.809,0.001559
0.828,0.001488
0.846,0.001399
0.864,0.001217
0.883,0.001126
