x,y
0,100.0
10,98.57
20,98.45
30,98.09
50,97.41
70,97.60
100,97.46
150,97.26
200,97.33
300,97.15
500,96.93
700,96.60
1000,96.43
1500,96.40
2000,96.24
3000,96.07
5000,95.86
7000,95.55
10000,95.59
13000,95.42
16000,95.37
19000,95.42
