cycle,F_over_F0
1.0,1.0000
100.5,1.0007
101.8,0.9988
200.8,0.9975
301.2,0.9752
402.4,0.9580
502.9,0.9522
735.5,0.9454
2010.3,0.9357
3012.3,0.9329
4015.3,0.9306
7164.7,0.9263
20077.4,0.9188
30087.2,0.9166
40169.1,0.9146
71594.6,0.9079
200527.0,0.8995
300899.3,0.8941
401112.5,0.8906
686815.4,0.8816
