position_mm,wear_depth_mm
0,0.0051
0.057,0.001906
0.114,0.001865
0.17,0.001824
0.227,0.001727
0.284,0.00164
0.341,0.001562
0.397,0.001468
0.453,0.001383
0.51,0.001314
0.567,0.001233
0.624,0.001166
0.68,0.001111
0.737,0.001071
0.794,0.001076
0.847,0.001231
