x,y
0,100.0
10,98.41
15,98.18
20,97.37
30,95.76
50,93.85
70,92.76
100,91.79
150,91.81
200,90.83
300,89.94
500,89.22
700,89.38
1000,88.98
1500,88.51
2000,88.04
3000,87.49
5000,86.91
7000,86.48
10000,85.63
13000,84.79
16000,83.90
18000,83.11
