position_mm,wear_depth_mm
0.02,0.003082
0.039,0.002226
0.057,0.002192
0.075,0.001711
0.112,0.001465
0.149,0.001465
0.167,0.001465
0.185,0.0015
0.204,0.0015
0.24,0.001477
0.277,0.001488
0.314,0.0015
0.332,0.0015
0.369,0.001432
0.406,0.001356
0.442,0.001315
0.461,0.001315
0.497,0.001275
0.534,0.001236
0.571,0.001092
0.607,0.0009646
0.644,0.0008722
0.662,0.0008722
0.699,0.0008655
0.736,0.0008135
0.772,0.000801
0.809,0.0007076
0.828,0.0007022
0.846,0.0005922
0.883,0.0004551
