cycle,F_over_F0
1.0,1.0000
300.3,0.9821
399.7,0.9720
723.4,0.9620
1994.6,0.9546
2990.4,0.9525
3989.4,0.9507
7163.6,0.9476
19907.5,0.9420
29799.7,0.9391
39763.1,0.9372
71742.0,0.9304
198496.8,0.9211
297387.0,0.9172
396799.5,0.9157
495119.7,0.9136
740906.3,0.9069
