x,F_over_F0
0,0.973
5,1.000
10,1.000
15,1.000
20,1.000
22,0.967
25,0.833
28,0.667
30,0.567
33,0.433
36,0.347
40,0.287
45,0.267
50,0.260
60,0.253
70,0.247
80,0.240
90,0.233
100,0.227
110,0.220
120,0.213
130,0.207
140,0.200
148,0.193
150,0.133
152,0.053
154,0.007
155,0.000
160,0.000
