x,F_over_F0
0,0.940
5,0.935
10,0.928
15,0.935
20,0.945
25,0.955
30,0.965
35,0.975
40,0.970
45,0.955
50,0.950
55,0.955
60,0.960
65,0.945
70,0.930
75,0.915
80,0.905
85,0.895
90,0.890
95,0.905
100,0.930
105,0.850
109,0.720
113,0.645
118,0.635
122,0.625
128,0.680
133,0.705
140,0.690
145,0.685
150,0.685
