x,y
32,0.85
48,2.4
53,2.7
62,3.3
73,4.4
93,4.85
103,5.3
105,5.75
107,5.75
132,5.9
133,6.15
143,6.35
152,5.7
163,5.8
188,7.95
215,8.2
215,8.4
263,9.85
