x,F_over_F0
0,1.000
25,0.900
50,0.855
100,0.810
200,0.775
300,0.760
500,0.740
750,0.720
1000,0.705
1500,0.685
2000,0.675
3000,0.660
4000,0.650
5000,0.645
6000,0.640
7000,0.635
8000,0.632
9000,0.628
10000,0.630
10500,0.6246
