x,F_over_F0
0,1.0000
10,0.8403
25,0.8088
50,0.7837
65,0.8571
72,0.8817
80,0.9550
100,0.9427
145,0.9659
155,0.9708
170,0.9593
180,0.9561
217,0.9654
230,0.9692
260,0.9607
300,0.9495
340,0.9408
360,0.9388
420,0.9318
500,0.9186
600,0.9100
700,0.8984
800,0.8853
900,0.8804
1000,0.9070
1100,0.8823
1250,0.8720
1450,0.8521
1700,0.8572
2000,0.8499
