x,F_over_F0
1,1.0000
150,0.9970
300,1.0295
400,1.0305
500,1.0340
700,1.0405
1250,1.0431
2000,1.0525
3500,1.0505
5000,1.0515
6500,1.0515
8000,1.0505
9500,1.0535
11500,1.0515
13000,1.0530
15000,1.0545
18000,1.0510
22000,1.0525
26000,1.0535
30000,1.0510
