x,y
-3.0,0.000
-2.6,0.000
-2.3,-0.005
-2.0,0.000
-1.8,0.005
-1.6,0.020
-1.4,0.050
-1.2,0.080
-1.0,0.095
-0.8,0.120
-0.6,0.135
-0.4,0.145
-0.2,0.152
0.0,0.155
0.2,0.153
0.4,0.148
0.6,0.138
0.8,0.120
1.0,0.100
1.2,0.075
1.4,0.045
1.6,0.020
1.8,0.005
2.0,0.000
2.5,0.000
3.0,0.000
