x,y
0.03,0.25
0.05,0.35
0.06,0.38
0.07,0.40
0.08,0.42
0.095,0.50
0.10,0.52
0.105,0.50
0.13,0.60
0.135,0.62
0.14,0.63
0.15,0.78
0.155,0.72
0.22,1.05
0.25,1.40
0.25,1.70
