x,F_over_F0
4,0.9903
16,0.9519
24,0.9209
31,0.8923
39,0.8637
49,0.8290
57,0.8004
67,0.7657
77,0.7304
86,0.6981
96,0.6652
110,0.6172
120,0.5873
128,0.5569
139,0.5228
149,0.4918
159,0.4620
169,0.4327
179,0.4023
191,0.3694
202,0.3348
214,0.3043
226,0.2751
242,0.2441
269,0.2112
338,0.1820
479,0.1637
621,0.1540
762,0.1485
904,0.1461
1045,0.1436
1187,0.1424
1328,0.1418
1501,0.1412
1650,0.1412
1815,0.1406
1925,0.1406
