x,F_over_F0
0,1.000
3,0.980
5,0.960
7,0.941
10,0.850
13,0.720
16,0.580
19,0.470
22,0.400
25,0.350
28,0.320
30,0.307
35,0.290
40,0.280
45,0.270
50,0.265
55,0.260
60,0.258
65,0.255
70,0.253
75,0.252
80,0.252
