x,y
-3.0,0.000
-2.5,0.000
-2.0,0.002
-1.8,0.008
-1.6,0.020
-1.4,0.035
-1.2,0.050
-1.0,0.065
-0.8,0.078
-0.6,0.090
-0.4,0.098
-0.2,0.104
0.0,0.107
0.2,0.105
0.4,0.099
0.6,0.090
0.8,0.078
1.0,0.065
1.2,0.050
1.4,0.035
1.6,0.020
1.8,0.008
2.0,0.002
2.5,0.000
3.0,0.000
