x,F_over_F0
0,1.000
2,0.907
4,0.780
6,0.660
8,0.527
10,0.420
12,0.360
15,0.307
20,0.273
25,0.263
30,0.257
40,0.247
50,0.240
60,0.233
70,0.230
80,0.227
90,0.223
100,0.220
110,0.217
120,0.213
130,0.213
