x,F_over_F0
10,0.7524
71,0.7276
375,0.7069
1631,0.6874
2340,0.6767
3050,0.6680
3759,0.6600
4468,0.6533
5177,0.6432
5887,0.6332
6596,0.6144
7062,0.5936
7305,0.5735
7447,0.5534
7568,0.5293
7649,0.5079
7730,0.4824
7812,0.4590
7872,0.4389
7953,0.4154
8034,0.3839
8065,0.0000
