x,F_over_F0
0,1.000
20,0.945
30,0.938
50,0.932
70,0.928
100,0.925
200,0.918
300,0.915
500,0.910
700,0.908
1000,0.905
2000,0.900
3000,0.897
5000,0.893
7000,0.890
10000,0.888
20000,0.883
30000,0.880
50000,0.877
70000,0.875
100000,0.873
200000,0.868
300000,0.865
500000,0.862
700000,0.860
1000000,0.857
