x,F_over_F0
1,1.0001
2,1.0237
3,1.0193
4,1.0035
5,0.9848
6,0.9886
7,0.9298
8,0.9271
9,0.9016
10,0.8954
11,0.8537
12,0.8270
13,0.7981
14,0.7906
15,0.7621
16,0.7444
17,0.7440
18,0.7226
19,0.7151
20,0.6866
