x,F_over_F0
0,1.067
2,0.947
4,0.793
6,0.647
8,0.513
10,0.413
12,0.373
16,0.323
20,0.293
24,0.270
30,0.240
35,0.220
40,0.210
50,0.197
60,0.190
70,0.183
80,0.179
90,0.173
100,0.170
110,0.167
117,0.161
120,0.160
128,0.159
