x,F_over_F0
0,1.000
4,1.050
8,1.100
10,1.130
12,1.100
15,1.150
18,1.230
21,1.200
24,1.100
27,0.950
30,0.900
33,0.970
36,0.950
40,0.850
45,0.750
50,0.680
55,0.650
58,0.600
60,0.550
63,0.450
65,0.300
67,0.150
68,0.000
