x,F_over_F0
0,1.000
5,0.995
10,0.990
15,0.969
18,0.920
20,0.850
22,0.770
24,0.700
26,0.640
28,0.561
32,0.530
36,0.510
40,0.505
45,0.490
50,0.470
55,0.460
60,0.450
65,0.440
68,0.430
72,0.420
76,0.410
80,0.399
