x,y
0.02,0.02
0.05,0.05
0.08,0.06
0.10,0.08
0.12,0.10
0.15,0.12
0.18,0.15
0.20,0.18
0.22,0.20
0.25,0.22
0.28,0.25
0.32,0.28
0.35,0.30
0.40,0.42
0.45,0.40
0.50,0.45
0.60,0.65
0.62,0.70
0.65,0.68
0.68,0.70
0.70,0.65
0.75,0.78
0.80,0.75
0.85,0.90
0.95,1.00
1.00,1.00
1.05,1.02
1.10,1.25
1.15,1.45
1.25,1.40
1.35,1.57
1.40,1.25
1.50,1.58
1.55,1.60
1.70,1.85
1.75,2.00
1.90,2.10
1.95,1.55
2.05,1.62
2.40,2.08
