x,F_over_F0
0,1.000
20,0.775
30,0.745
50,0.725
70,0.713
100,0.703
200,0.687
300,0.680
500,0.670
700,0.665
1000,0.660
2000,0.652
3000,0.647
5000,0.640
7000,0.635
10000,0.632
20000,0.625
30000,0.622
50000,0.617
70000,0.613
100000,0.610
200000,0.602
300000,0.598
500000,0.592
700000,0.588
1000000,0.593
