x,F_over_F0
0,1.0000
10,0.8134
25,0.7873
50,0.7724
100,0.7575
150,0.7435
200,0.7295
300,0.7164
400,0.7108
500,0.7108
600,0.7108
650,0.7108
700,0.5896
750,0.5131
800,0.4328
830,0.3843
850,0.3815
870,0.3545
900,0.3507
960,0.3433
1000,0.3591
1020,0.3601
1060,0.3563
1100,0.3545
1150,0.3507
1175,0.4188
1200,0.3470
1260,0.3545
1300,0.3582
1340,0.4720
1360,0.3451
1400,0.3451
1500,0.3554
1600,0.3713
1700,0.3638
1800,0.3713
1900,0.3787
2000,0.3881
