x,F_over_F0
0,1.0000
10,0.8200
25,0.7948
50,0.7665
65,0.7547
72,0.7521
80,0.7451
100,0.7372
145,0.7199
155,0.7091
170,0.7000
180,0.6915
217,0.6598
230,0.6564
260,0.6474
300,0.6407
340,0.9526
360,0.9362
420,0.9142
500,0.8895
600,0.8701
700,0.8466
800,0.8341
900,0.8129
1000,0.7940
1100,0.7856
1250,0.7665
1450,0.7304
1700,0.7045
2000,0.6893
