x,y
-3.0,0.000
-2.5,0.000
-2.2,-0.008
-2.0,0.000
-1.8,0.010
-1.6,0.025
-1.4,0.040
-1.2,0.050
-1.0,0.058
-0.8,0.062
-0.6,0.063
-0.4,0.058
-0.2,0.048
0.0,0.045
0.2,0.050
0.4,0.058
0.6,0.063
0.8,0.065
1.0,0.062
1.2,0.050
1.4,0.035
1.6,0.020
1.8,0.008
2.0,0.000
2.5,0.000
3.0,0.000
