x,F_over_F0
10,1.0000
20,0.9915
40,0.9915
70,1.0000
100,1.0169
200,1.0508
400,1.1017
700,1.1695
1000,1.2288
1500,1.2797
2000,1.3136
3000,1.3390
4000,1.3475
5000,1.3559
7000,1.3475
10000,1.3220
15000,1.2797
20000,1.2373
30000,1.1780
50000,1.1017
70000,1.0508
100000,0.9915
150000,0.9407
200000,0.8983
300000,0.8475
400000,0.8051
500000,0.7712
600000,0.7458
