x,F_over_F0
0,0.980
2,0.867
4,0.720
6,0.567
8,0.420
10,0.293
12,0.193
14,0.127
16,0.080
18,0.053
20,0.037
25,0.025
29,0.037
33,0.020
35,0.033
38,0.013
40,0.043
43,0.010
45,0.040
48,0.007
50,0.037
53,0.005
55,0.033
58,0.003
60,0.050
63,0.002
65,0.047
68,0.001
70,0.043
72,0.001
74,0.040
77,0.000
80,0.037
83,0.000
85,0.000
