x,F_over_F0
0,1.000
20,0.840
30,0.825
50,0.813
70,0.805
100,0.797
200,0.785
300,0.780
500,0.772
700,0.767
1000,0.763
2000,0.755
3000,0.750
5000,0.743
7000,0.738
10000,0.735
20000,0.727
30000,0.723
50000,0.717
70000,0.713
100000,0.710
200000,0.700
300000,0.695
500000,0.687
700000,0.682
1000000,0.663
