x,F_over_F0
0,1.0000
10,0.9394
25,0.9394
50,0.9389
75,0.9391
100,0.9302
150,0.9232
200,0.9170
300,0.9167
400,0.9130
500,0.9105
600,0.9033
700,0.8950
800,0.8916
900,0.8937
1000,0.8907
1050,0.8859
1075,0.8838
1100,0.8817
1200,0.8809
1300,0.8800
1400,0.8752
1500,0.8771
1600,0.8786
1700,0.8742
1725,0.8735
1750,0.8675
1850,0.8675
1950,0.8675
2000,0.8672
