x,F_over_F0
1,1.0000
2,0.9997
10,0.9995
30,0.9997
70,0.9991
150,0.9977
300,0.9939
500,0.9883
900,0.9771
1300,0.9676
1600,0.9609
2000,0.9487
2500,0.9411
3000,0.9323
3500,0.9176
4000,0.9079
4500,0.9036
5000,0.8885
5500,0.8745
6500,0.8588
7500,0.8372
8000,0.8329
9000,0.8172
10000,0.8116
11000,0.7907
12000,0.7697
13000,0.7652
15500,0.7618
18000,0.7652
22000,0.7663
28000,0.7652
