x,F_over_F0
0,1.000
20,0.975
30,0.972
50,0.970
70,0.968
100,0.967
200,0.963
300,0.962
500,0.960
700,0.958
1000,0.957
2000,0.953
3000,0.952
5000,0.950
7000,0.948
10000,0.947
20000,0.943
30000,0.942
50000,0.940
70000,0.938
100000,0.937
200000,0.932
300000,0.930
500000,0.925
700000,0.922
1000000,0.915
