x,y
-3.0,0.000
-2.5,0.000
-2.0,0.005
-1.8,0.015
-1.6,0.030
-1.4,0.045
-1.2,0.055
-1.0,0.062
-0.8,0.065
-0.6,0.062
-0.4,0.045
-0.2,0.025
0.0,0.020
0.2,0.022
0.4,0.035
0.6,0.055
0.8,0.065
1.0,0.062
1.2,0.050
1.4,0.032
1.6,0.018
1.8,0.007
2.0,0.001
2.5,0.000
3.0,0.000
