x,F_over_F0
0,1.000
20,0.865
30,0.853
50,0.842
70,0.833
100,0.820
200,0.803
300,0.793
500,0.782
700,0.775
1000,0.768
2000,0.755
3000,0.748
5000,0.740
7000,0.735
10000,0.730
20000,0.720
30000,0.715
50000,0.708
70000,0.703
100000,0.700
200000,0.687
300000,0.680
500000,0.670
700000,0.665
1000000,0.658
