N,P_frac,theta_pct_eixoP
14.2314,0.9221,0.251
14.4026,0.9221,0.251
14.5759,0.9221,0.251
14.7513,0.9221,0.251
14.9288,0.9221,0.251
15.1085,0.9221,0.251
15.2903,0.9221,0.251
15.4743,0.9221,0.251
15.6605,0.9221,0.251
15.8489,0.9221,0.251
16.0396,0.9209,0.251
16.2327,0.9183,0.251
16.428,0.9183,0.251
16.6257,0.9183,0.251
16.8257,0.9183,0.251
17.0282,0.9183,0.251
17.2331,0.9183,0.251
17.4405,0.9183,0.251
17.6503,0.9183,0.251
17.8627,0.9183,0.251
18.0777,0.9183,0.251
18.2952,0.9183,0.251
18.5154,0.9183,0.251
18.7382,0.9183,0.251
18.9637,0.9183,0.251
19.1919,0.9183,0.251
19.4228,0.9183,0.251
19.6565,0.9183,0.251
19.893,0.9183,0.251
20.1324,0.9183,0.251
20.3747,0.9146,0.251
20.6199,0.9146,0.251
20.868,0.9146,0.251
21.1191,0.9146,0.251
21.3732,0.9146,0.251
21.6304,0.9146,0.251
21.8907,0.9146,0.251
22.1541,0.9146,0.251
22.4207,0.9146,0.251
22.6905,0.9146,0.251
22.9635,0.9146,0.251
23.2399,0.9146,0.251
23.5195,0.9146,0.251
23.8025,0.9146,0.251
24.089,0.9146,0.251
24.3788,0.9146,0.251
24.6722,0.9158,0.251
24.9691,0.9146,0.251
25.2695,0.9121,0.251
25.5736,0.9121,0.251
25.8814,0.9121,0.251
26.1928,0.9121,0.251
26.508,0.9121,0.251
26.827,0.9121,0.251
27.1498,0.9121,0.251
27.4765,0.9121,0.251
27.8071,0.9121,0.251
28.1417,0.9121,0.251
28.4804,0.9121,0.251
28.8231,0.9121,0.251
29.1699,0.9121,0.251
29.5209,0.9121,0.251
29.8762,0.9121,0.251
30.2357,0.9121,0.251
30.5995,0.9121,0.251
30.9677,0.9121,0.251
31.3404,0.9095,0.377
31.7175,0.9095,0.503
32.0991,0.9095,0.503
32.4854,0.9095,0.503
32.8763,0.9095,0.503
33.2719,0.9095,0.503
33.6723,0.9095,0.503
34.0775,0.9095,0.503
34.4875,0.9095,0.503
34.9025,0.9095,0.503
35.3225,0.9095,0.503
35.7476,0.9095,0.503
36.1778,0.9095,0.503
36.6131,0.9095,0.503
37.0537,0.9095,0.503
37.4995,0.9095,0.503
37.9508,0.9095,0.503
38.4075,0.9095,0.503
38.8696,0.9095,0.503
39.3374,0.9083,0.503
39.8107,0.9070,0.503
40.2898,0.9058,0.503
40.7746,0.9058,0.503
41.2652,0.9070,0.503
41.7618,0.9070,0.503
42.2643,0.9070,0.503
42.7729,0.9070,0.503
43.2876,0.9070,0.503
43.8085,0.9070,0.503
44.3357,0.9070,0.503
44.8692,0.9070,0.503
45.4091,0.9070,0.503
45.9555,0.9070,0.503
46.5085,0.9070,0.503
47.0682,0.9070,0.503
47.6346,0.9070,0.503
48.2078,0.9070,0.503
48.7879,0.9070,0.503
49.3749,0.9058,0.503
49.9691,0.9045,0.503
50.5704,0.9020,0.503
51.1789,0.9008,0.503
51.7947,0.9020,0.503
52.418,0.9033,0.503
53.0488,0.9033,0.503
53.6871,0.9033,0.503
54.3332,0.9033,0.503
54.987,0.9033,0.503
55.6486,0.9033,0.503
56.3183,0.9033,0.503
56.996,0.9033,0.503
57.6818,0.9033,0.503
58.3759,0.9033,0.503
59.0784,0.9033,0.503
59.7893,0.9033,0.503
60.5088,0.9033,0.503
61.2369,0.9020,0.503
61.9738,0.9008,0.503
62.7195,0.9020,0.503
63.4742,0.8995,0.503
64.238,0.8995,0.503
65.011,0.8995,0.503
65.7933,0.8995,0.503
66.585,0.8995,0.503
67.3863,0.8995,0.503
68.1972,0.8995,0.503
69.0178,0.8995,0.503
69.8483,0.8995,0.503
70.6888,0.8995,0.503
71.5394,0.8995,0.503
72.4003,0.8995,0.503
73.2715,0.8995,0.503
74.1532,0.8995,0.503
75.0455,0.8995,0.503
75.9485,0.8982,0.503
76.8625,0.8982,0.503
77.7874,0.8957,0.503
78.7234,0.8970,0.503
79.6707,0.8970,0.503
80.6294,0.8970,0.503
81.5997,0.8970,0.503
82.5816,0.8970,0.503
83.5753,0.8970,0.503
84.581,0.8970,0.503
85.5988,0.8970,0.503
86.6288,0.8970,0.503
87.6712,0.8970,0.503
88.7262,0.8970,0.503
89.7939,0.8970,0.503
90.8744,0.8970,0.503
91.9679,0.8957,0.503
93.0746,0.8957,0.503
94.1946,0.8945,0.503
95.3281,0.8920,0.503
96.4752,0.8932,0.503
97.6361,0.8945,0.503
98.811,0.8945,0.503
100,0.8945,0.503
101.203,0.8945,0.503
102.421,0.8945,0.503
103.654,0.8945,0.503
104.901,0.8945,0.503
106.163,0.8945,0.503
107.441,0.8945,0.503
108.734,0.8945,0.503
110.042,0.8945,0.503
111.366,0.8945,0.503
112.706,0.8945,0.503
114.062,0.8945,0.503
115.435,0.8945,0.503
116.824,0.8932,0.503
118.23,0.8932,0.503
119.653,0.8920,0.503
121.092,0.8907,0.503
122.55,0.8894,0.503
124.024,0.8907,0.503
125.517,0.8920,0.503
127.027,0.8920,0.503
128.556,0.8920,0.754
130.103,0.8920,0.503
131.668,0.8920,0.628
133.252,0.8920,0.754
134.856,0.8907,0.628
136.479,0.8894,0.879
138.121,0.8894,0.879
139.783,0.8869,0.879
141.465,0.8869,0.879
143.167,0.8869,0.879
144.89,0.8869,0.879
146.634,0.8869,0.879
148.398,0.8869,0.879
150.184,0.8869,0.879
151.991,0.8869,0.879
153.82,0.8869,0.879
155.671,0.8869,0.879
157.544,0.8869,0.879
167.254,0.8857,0.879
169.267,0.8844,0.879
171.303,0.8857,0.879
173.365,0.8832,0.879
175.451,0.8832,0.879
177.562,0.8844,0.879
179.699,0.8819,0.879
181.861,0.8807,0.879
184.05,0.8794,0.879
186.264,0.8769,0.879
188.506,0.8756,0.879
190.774,0.8744,0.879
193.07,0.8719,0.879
195.393,0.8719,0.879
197.744,0.8681,0.879
200.124,0.8668,0.879
202.532,0.8643,0.879
204.969,0.8606,0.879
207.436,0.8568,0.879
209.932,0.8518,1.005
212.458,0.8480,1.131
215.014,0.8430,1.005
217.602,0.8392,1.131
220.22,0.8354,1.256
222.87,0.8317,1.256
225.552,0.8254,1.256
228.266,0.8216,1.256
231.013,0.8178,1.256
233.793,0.8128,1.256
236.606,0.8103,1.256
239.453,0.8065,1.256
242.335,0.8040,1.256
245.251,0.7977,1.256
248.202,0.7940,1.256
251.189,0.7915,1.256
254.211,0.7889,1.382
257.27,0.7852,1.508
260.366,0.7789,1.508
263.499,0.7751,1.508
266.67,0.7701,1.508
269.879,0.7688,1.508
273.126,0.7663,1.508
276.413,0.7626,1.508
279.739,0.7550,1.508
283.105,0.7525,1.508
286.512,0.7487,1.508
289.96,0.7462,1.633
293.449,0.7425,1.759
296.98,0.7399,1.759
300.554,0.7387,1.759
304.17,0.7374,1.759
307.831,0.7362,1.759
311.535,0.7349,1.884
315.284,0.7324,1.884
319.077,0.7312,1.884
322.917,0.7274,2.010
326.803,0.6960,2.136
330.735,0.6947,2.261
334.715,0.6910,2.261
