cycle,F_over_F0
0,1.0000
20,0.7800
50,0.7200
75,0.6900
100,0.6200
200,0.5600
300,0.5400
400,0.5200
500,0.4200
1000,0.4000
1500,0.3600
2000,0.2900
2500,0.2600
