cycle,F_over_F0
0,1.0000
20,0.8000
50,0.7500
75,0.7300
100,0.7100
200,0.6700
300,0.5700
400,0.4500
500,0.3100
1000,0.1100
1500,0.0600
2000,0.0100
2500,0.0100
