cycle,F_over_F0
0,1.0000
20,0.8000
50,0.7500
75,0.7100
100,0.7000
200,0.6000
300,0.5500
400,0.5200
500,0.4400
1000,0.3600
1500,0.3300
2000,0.2900
2500,0.2700
