cycle,F_over_F0
0,1.0000
20,0.8100
50,0.7700
75,0.7300
100,0.7000
200,0.6500
300,0.5300
400,0.4700
500,0.3600
1000,0.1300
1500,0.1000
2000,0.0300
2500,0.0150
