cycle,F_over_F0
0,1.0000
20,0.7600
50,0.7000
75,0.6600
100,0.6000
200,0.5400
300,0.5400
400,0.4800
500,0.4200
1000,0.3500
1500,0.3300
2000,0.2800
2500,0.2500
