cycle,F_over_F0
0,1.0000
20,0.8700
50,0.7700
75,0.7500
100,0.7300
200,0.6500
300,0.5600
400,0.4800
500,0.3900
1000,0.1800
1500,0.1500
2000,0.0900
2500,0.0800
