cycle,F_over_F0
0,1.0000
20,0.8200
50,0.7550
75,0.7300
100,0.7100
200,0.6375
300,0.5475
400,0.4625
500,0.3475
1000,0.1325
1500,0.0925
2000,0.0350
2500,0.0288
