[parallel] 202 casos em 6 workers
  [93/202] liu2022_fig6b_oil_release_t3               mae=0.0053
  [94/202] chu2026ti_D0p4mm_F0_61kN_test7             mae=0.1504
  [95/202] liu2022_fig7a_oil_direct_t2                mae=0.0069
  [96/202] liu2022_fig8_multi_t1                      mae=0.0533
  [97/202] liu2022_fig7a_oil_direct_t3                mae=0.0101
  [98/202] chu2026ti_D0p4mm_F0_73kN_test8             mae=0.164
  [99/202] yang2019_M10_varamp_small_to_large         mae=0.0636
  [100/202] yang2021_amp1p0mm_ax2kN                    mae=0.058
  [101/202] liu2022_fig8_multi_t2                      mae=0.0582
  [102/202] karlsen2022_M30_vibralock_run9p0           mae=0.0125
  [103/202] karlsen2022_M30_vibralock_torqued_run16p0  mae=0.0474
  [104/202] karlsen2022_M42_vibralock_run23p0          mae=0.0073
  [105/202] karlsen2022_M42_vibralock_torqued_run29p0  mae=0.007
  [106/202] liu2022_fig8_multi_t3                      mae=0.0404
  [107/202] chu2026ti_D0p3mm_F0_49kN_test1             mae=0.0663
  [108/202] yang2019_M10_varamp_large_to_small         mae=0.0519
  [109/202] chu2026ti_D0p7mm_F0_49kN_test4             mae=0.1043
  [110/202] chu2026ti_D0p5mm_F0_49kN_test3             mae=0.1381
  [111/202] 10_Yang_2023_phenomenological_model__0_18_ mae=0.0081
  [112/202] 10_Yang_2023_phenomenological_model__0_25_ mae=0.1674
  [113/202] eccles2010_fig6_annotated_4kN_axial        mae=0.1457
  [114/202] 10_Yang_2023_phenomenological_model__0_15_ mae=0.0069
  [115/202] caccese2009_retighten_12p7mm_no_retighten  mae=0.0153
  [116/202] caccese2009_compblock_34kPa                mae=0.0073
  [117/202] caccese2009_retighten_19p1mm_no_retighten  mae=0.0245
  [118/202] caccese2009_compblock_71kPa                mae=0.0084
  [119/202] caccese2009_tapered_45kN_rep1              mae=0.0523
  [120/202] caccese2009_protruding_45kN                mae=0.0179
  [121/202] caccese2009_tapered_45kN_rep2              mae=0.0274
  [122/202] sun2025efa109235_transverse_grease_crimp   mae=0.0221
  [123/202] eccles2010_fig7c_axial_2p7kN_constant      mae=0.025
  [124/202] eccles2010_fig7d_axial_3p1kN_constant      mae=0.0668
  [125/202] eccles2010_fig7a_no_axial                  mae=0.027
  [126/202] eccles2010_fig7b_axial_1p1kN_constant      mae=0.0256
  [127/202] eccles2010_fig8c_no_axial_baseline2        mae=0.0431
  [128/202] eccles2010_fig8d_axial_3p5kN_intermittent  mae=0.1335
  [129/202] eccles2010_fig8a_no_axial_baseline1        mae=0.0436
  [130/202] bauer2024_M12_fig8_test2                   mae=0.029
  [131/202] bauer2024_M12_fig8_test3                   mae=0.0241
  [132/202] eccles2010_fig3_typical_no_axial           mae=0.0229
  [133/202] yang2023ame_axial                          mae=0.3875
  [134/202] chu2026ti_D0p4mm_F0_49kN_test2             mae=0.1543
  [135/202] eccles2010_fig8b_axial_0p7kN_intermittent  mae=0.0438
  [136/202] zhang19_fig4_1e3cyc_Test1to3_preload_vs_cy mae=0.0027
  [137/202] zhang18_fig2_test1_20kN_1e3cyc_preload_vs_ mae=0.016
  [138/202] 10_Yang_2023_phenomenological_model__0_35_ mae=0.1788
  [139/202] chu2026ti_D0p5mm_F0_49kN_Ra1p6um_test9     mae=0.0449
  [140/202] bauer2024_M12_fig8_test1                   mae=0.0745
  [141/202] sun2025efa109235_transverse_grease_standar mae=0.0999
  [142/202] li2022marstruc_creep_10kN_Ra0p8_min        mae=0.0063
