cycle,F_over_F0
0,1.0000
20,0.7000
50,0.5700
75,0.5500
100,0.5300
200,0.3800
300,0.3300
400,0.1800
500,0.0800
1000,0.0150
1500,0.0100
2000,0.0050
2500,0.0050
