cycle,F_over_F0
0,1.0000
20,0.8500
50,0.8200
75,0.8000
100,0.7600
200,0.7300
300,0.7100
400,0.7100
500,0.6800
1000,0.6700
1500,0.6400
2000,0.6200
2500,0.6000
